130279,occ,,,10761,,n. gen. Dendrorhynchus n. sp. curvidentatus,species,68166,recombined as,Dendrorhynchoides curvidentatus,,species,68166,Barremian,Early Aptian,129.4,122.46,Ji et al.,1999,4004,Chordata,33815,Reptilia,36322,Pterosauria,38461,Anurognathidae,100408,Dendrorhynchoides,68167,,,,1,individuals,120.8722,41.601398,"GMV 2128, incomplete skeleton","Sihetun, Yixian bed 8",,,CN,Liaoning,,based on nearby landmark,4,local area,"Beipiao area, near Sihetun, western Liaoning",gp_mid,129.45,41.53,604,CN,,Yixian,Jehol,Chaomidianzi,group of beds,,,,,Yixian,8,bottom to top,"several meters above beds bearing Sinosauropteryx and Confuciusornis; authors use ""Chaomidianzi Formation"" but this is part of Yixian.\r\n\r\n""age of 129.7 ± 0.5 Ma for a basaltic lava from the bottom of the Yixian Formation and an age of 122.1 ± 0.3 Ma for a tuff from the lowermost part of the overlying Jiufotang Formation"" (Chang et al. 2009)",,siltstone,planar lamination,,,Y,mudstone,"planar lamination,black,gray",,silty,Y,lacustrine indet.,,,macrofossils,,,,,,,,"body,adpression,soft parts",excellent,,,,,,,,,,,,biostratigraphic,"selective quarrying,field collection",,some macrofossils,,,,,,,marine,,actively mobile,volant,,insectivore,,,,hydroxyapatite,,,,Dendrorhynchus,n. gen.,,,curvidentatus,n. sp.,M. Carrano,M. Carrano,R. Butler
138851,occ,,,11804,,Pterosauria indet.,unranked clade,38461,,Pterosauria,,unranked clade,38461,Early Cenomanian,Middle Cenomanian,99.6,93.5,Polcyn et al.,1999,4203,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,,,,,,,,35.258331,31.954166,,'Ein Yabrud quarries,,Ein Jabrud,PS,,,based on nearby landmark,seconds,local area,"several plattenkalk quarries near 'Ein Yabrud, 20 km north of Jerusalem, 7 km NE Ramallah, on the El-Bira–Jericho road\r\ncoordinates are based on Ein Yabrud; country, originally entered as >>Israel<<, has been changed since Ein Yabrud is not on Israelian territory proper (TL)",gp_mid,40.89,14.74,508,PS,,Bet Meir/Amminadav,,,group of beds,Ammonites (Graysonites wooldrigei and Stoliczkaia amanai),,,,,,,formation assignment uncertain,"fine grained, thin-bedded carbonates","""limestone""",planar lamination,lithified,,Y,,,,,,carbonate indet.,,"low energy, shallow marine platform depositional environment, close to shore.",macrofossils,,,,,,,,"body,adpression,soft parts",excellent,,,conservation,,,,,,,,,taxonomic,"bulk,field collection",,,,,Haas,,The collection is said to contain several hundred specimens,,marine,,actively mobile,volant,,piscivore,,,active flyers (Padian 1983) and mostly piscivorous (Wang and Zhou 2006),hydroxyapatite,,,,Pterosauria,,,,indet.,,E. Fara,E. Fara,M. Carrano
149986,occ,,,13283,,n. gen. Rhamphinion n. sp. jenkinsi,species,68172,,Rhamphinion jenkinsi,,species,68172,Sinemurian,Pliensbachian,199.3,182.7,Padian,1984,4407,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,Rhamphinion,68171,,,,1,individuals,-111.006943,35.695278,"MNA V 4500 (holotype), skull fragments","MCZ 23/78A, Foxtrot Mesa",,"Silty Facies, Ward Mesa, pterosaur",US,Arizona,,,seconds,small collection,"southern side of Sand Mesa, along Adeii Eechii Cliffs, Ward's Terrace, in the Little Colorado River Valley.",gp_mid,-39.59,14.93,101,US,,Kayenta,Glen Canyon,Silty Facies,bed,,,,,,,,"""Middle Kayenta Formation...silty facies...horizon cannot be precisely traced.""",none given,siltstone,"""cross stratification""",lithified,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,,,body,poor,,,,dispersed,,,,extreme,,,,taxonomic,"surface (float),field collection",MCZ,some macrofossils,1 individuals,,,1978,,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Rhamphinion,n. gen.,,,jenkinsi,n. sp.,M. Carrano,M. Carrano,R. Butler
150243,occ,,,13335,,n. gen. Eurolimnornis n. sp. corneti,species,134984,,Eurolimnornis corneti,,species,134984,Berriasian,,145,139.8,Benton et al.,1997,4007,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,Eurolimnornis,134976,,,,1,specimens,22.4,46.950001,,"Brusturi Mine, Cornet 204 lens",,"Bihor, ETE 1554",RO,Judetul Bihor,Oradea,based on nearby landmark,minutes,outcrop,"in the Cornet bauxitic zone, 4 km south of the mining bldgs. of the Cornet branch of the S.C. ""Bauxita Min"" S.A. Dobresti company. Cornet lies in the Comuna Astileu, located in the Padurea Craiului Mtns. in the eastern part of Judetul (prov.) Bihor. The locality is 40 km ESE of Oradea (also listed as SSE).",gp_mid,37.3,10.49,308,RO,,Lower Bauxite,,,bed,,,,,,,,,"""[lens is] 3 m of red-brown boehmitic bauxite, consisting of alternating 300 mm thick beds of structureless mud-grade bauxite and 40-100 mm thick arenitic or arenitic/ruditic units...the bauxite is capped by 0.5 m of laminated kaolinitic clay of mottled yellow and red colour, and this is topped...by limestone. The bones occurred in greatest concentration in a 0.6 m thick band in the middle of the lens...virtually a bone-supported conglomerate...the bones were found in the mud-grade bauxites in the lower 1 m of the section.""",conglomerate,"lenticular,brown,red",,silty,Y,claystone,"planar lamination,red,yellow",,,,karst indet.,,"""an extensive karst surface, formed after uplift of the unlderlying limestones, providing clear evidence of subaerial erosion and tropical conditions of soil development. The bauxite occupied karst depressions to a depth of several metres, often filling caves and fissures.""","macrofossils,mesofossils",,,,,tooth marks,,,body,good,allochthonous,time-averaged,,#NAME?,preferred,,well,frequent,occasional,,"""the bauxite and its contained fossils probably washed into the caverns from a considerable surrounding hinterland…the Cornet fossils show signs of scavening, little evidence for weathering, but strong indications of winnowing and post-depositional distortion."" Classifed as an ""abiotic allochthonous accumulation"".",taxonomic,"bulk,salvage,chemical,mechanical,field collection",,all microfossils,10000 specimens,,F. Marinescu,"1978-1979, 1994-2000",2000 bone-bearing blocks collected (size unspecified); discovered by two ore miners. Collected 1978-1979 by F. Marinescu; mine flooded 1984-1994; reopened 1994-2000 when studied by Tarii Crisurilor Museum and Univ. Bristol; re-flooded 2000.,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Eurolimnornis,n. gen.,,,corneti,n. sp.,M. Carrano,M. Carrano,R. Butler
150245,occ,23554,,13335,,Pterodactyloidea indet.,suborder,156756,,Pterodactyloidea,,suborder,38479,Berriasian,,145,139.8,Benton et al.,1997,4007,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,,,,,,,,22.4,46.950001,"Up to 100 limb elements, including MTCO 1628, 9682, 1914","Brusturi Mine, Cornet 204 lens",,"Bihor, ETE 1554",RO,Judetul Bihor,Oradea,based on nearby landmark,minutes,outcrop,"in the Cornet bauxitic zone, 4 km south of the mining bldgs. of the Cornet branch of the S.C. ""Bauxita Min"" S.A. Dobresti company. Cornet lies in the Comuna Astileu, located in the Padurea Craiului Mtns. in the eastern part of Judetul (prov.) Bihor. The locality is 40 km ESE of Oradea (also listed as SSE).",gp_mid,37.3,10.49,308,RO,,Lower Bauxite,,,bed,,,,,,,,,"""[lens is] 3 m of red-brown boehmitic bauxite, consisting of alternating 300 mm thick beds of structureless mud-grade bauxite and 40-100 mm thick arenitic or arenitic/ruditic units...the bauxite is capped by 0.5 m of laminated kaolinitic clay of mottled yellow and red colour, and this is topped...by limestone. The bones occurred in greatest concentration in a 0.6 m thick band in the middle of the lens...virtually a bone-supported conglomerate...the bones were found in the mud-grade bauxites in the lower 1 m of the section.""",conglomerate,"lenticular,brown,red",,silty,Y,claystone,"planar lamination,red,yellow",,,,karst indet.,,"""an extensive karst surface, formed after uplift of the unlderlying limestones, providing clear evidence of subaerial erosion and tropical conditions of soil development. The bauxite occupied karst depressions to a depth of several metres, often filling caves and fissures.""","macrofossils,mesofossils",,,,,tooth marks,,,body,good,allochthonous,time-averaged,,#NAME?,preferred,,well,frequent,occasional,,"""the bauxite and its contained fossils probably washed into the caverns from a considerable surrounding hinterland…the Cornet fossils show signs of scavening, little evidence for weathering, but strong indications of winnowing and post-depositional distortion."" Classifed as an ""abiotic allochthonous accumulation"".",taxonomic,"bulk,salvage,chemical,mechanical,field collection",,all microfossils,10000 specimens,,F. Marinescu,"1978-1979, 1994-2000",2000 bone-bearing blocks collected (size unspecified); discovered by two ore miners. Collected 1978-1979 by F. Marinescu; mine flooded 1984-1994; reopened 1994-2000 when studied by Tarii Crisurilor Museum and Univ. Bristol; re-flooded 2000.,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Pterodactyloidea,,,,indet.,,M. Carrano,M. Carrano,M. Carrano
150250,occ,22548,,13335,,Dsungaripteroidea ? indet.,superfamily,96503,,Dsungaripteroidea,,superfamily,68081,Berriasian,,145,139.8,Unwin et al.,2000,31079,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,,,,,,1,specimens,22.4,46.950001,"MTCO 9651, snout; MTCO 18.262  9651 (partial maxilla)","Brusturi Mine, Cornet 204 lens",,"Bihor, ETE 1554",RO,Judetul Bihor,Oradea,based on nearby landmark,minutes,outcrop,"in the Cornet bauxitic zone, 4 km south of the mining bldgs. of the Cornet branch of the S.C. ""Bauxita Min"" S.A. Dobresti company. Cornet lies in the Comuna Astileu, located in the Padurea Craiului Mtns. in the eastern part of Judetul (prov.) Bihor. The locality is 40 km ESE of Oradea (also listed as SSE).",gp_mid,37.3,10.49,308,RO,,Lower Bauxite,,,bed,,,,,,,,,"""[lens is] 3 m of red-brown boehmitic bauxite, consisting of alternating 300 mm thick beds of structureless mud-grade bauxite and 40-100 mm thick arenitic or arenitic/ruditic units...the bauxite is capped by 0.5 m of laminated kaolinitic clay of mottled yellow and red colour, and this is topped...by limestone. The bones occurred in greatest concentration in a 0.6 m thick band in the middle of the lens...virtually a bone-supported conglomerate...the bones were found in the mud-grade bauxites in the lower 1 m of the section.""",conglomerate,"lenticular,brown,red",,silty,Y,claystone,"planar lamination,red,yellow",,,,karst indet.,,"""an extensive karst surface, formed after uplift of the unlderlying limestones, providing clear evidence of subaerial erosion and tropical conditions of soil development. The bauxite occupied karst depressions to a depth of several metres, often filling caves and fissures.""","macrofossils,mesofossils",,,,,tooth marks,,,body,good,allochthonous,time-averaged,,#NAME?,preferred,,well,frequent,occasional,,"""the bauxite and its contained fossils probably washed into the caverns from a considerable surrounding hinterland…the Cornet fossils show signs of scavening, little evidence for weathering, but strong indications of winnowing and post-depositional distortion."" Classifed as an ""abiotic allochthonous accumulation"".",taxonomic,"bulk,salvage,chemical,mechanical,field collection",,all microfossils,10000 specimens,,F. Marinescu,"1978-1979, 1994-2000",2000 bone-bearing blocks collected (size unspecified); discovered by two ore miners. Collected 1978-1979 by F. Marinescu; mine flooded 1984-1994; reopened 1994-2000 when studied by Tarii Crisurilor Museum and Univ. Bristol; re-flooded 2000.,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Dsungaripteroidea,?,,,indet.,,R. Butler,R. Butler,M. Carrano
150603,occ,,,13366,,n. gen. Titanopteryx n. sp. philadelphiae,species,156656,recombined as,Arambourgiania philadelphiae,,species,156656,Maastrichtian,,72.1,66,Arambourg,1959,31056,Chordata,33815,Reptilia,36322,Pterosauria,38461,Azhdarchidae,81005,Arambourgiania,156655,,,,1,specimens,36.033333,32.016666,"Univ. Jordan, Dept. Geol. VF-1 (holotype), cervical vertebra.",Ruseifa phosphate mine,,,JO,,,based on political unit,seconds,local area,"old underground phosphate mines of the Jordan Phosphate Mines Company LTD (JPMC), surrounding the town of Ruseifa, 5 km NE of Amman, alongside the Amman-Damascus railway.",gp_mid,37.57,10.21,503,JO,,Phosphorite Unit,Balqa,,group of beds,,Ruseifa,I,bottom to top,,,,"lithostratigraphically defined unit, containing 4 main phosphate seams at Ruseifa. Entire unit is about 24 m thick, with lower seam (likely source bed of pterosaur) about 2 m thick. All phosphate beds yeild vertebrates.","""The phosphate rock...are pelletal phosphates rich in fragmentary bones and teeth. Shelly fossils only occur where relatively early diagenetic events, usually silicification, have cemented the rock. Beds above and below the phosphate horizons contain abundant bivalves and gastropods and indicate water depths of only a few metres.""",phosphorite,"peloidal,shelly/skeletal",,,Y,"""limestone""",,,,Y,shallow subtidal indet.,,"""In this mine (now closed), the Late Cretaceous phosphatic beds are well exposed\r\nand are approximately 20-25 m thick. Four phosphatic horizons (Fig. 1, I to IV) separated by marls, limestones and cherts are recognisable (Bender 1968; Bandel & Mikbel 1985; Jallad et al. 1989), with all these horizons yielding vertebrate remains."" (Bardet and Pereda Suberbiola, 2002)\r\n\r\n""The Ruseifa Phosphates were deposited in a shallow sea, when the underlying Wadi Sir\r\nFormation was eroded along an island chain that accompanied the Ruseifa fault and associated folds (Bandel & Mikbel 1985). A near-shore environment is suggested by the rare occurrence of dinosaur and pterosaur remains into the marine series."" (Bardet and Pereda Suberbiola, 2002)\r\n",macrofossils,,,,,,,,"body,trace,replaced with silica",medium,,,,,,,,frequent,,,,taxonomic,"selective quarrying,field collection",,"some genera,some macrofossils",,,,1950s,,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Titanopteryx,n. gen.,,,philadelphiae,n. sp.,M. Carrano,M. Carrano,R. Butler
220153,occ,,,22710,,n. gen. Pterodaustro n. sp. guinazui,species,156857,,Pterodaustro guinazui,,species,156857,Albian,,113,100.5,Fox,1997,5800,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,Pterodaustro,38488,,,,,,-66.993797,-32.501301,,Loma del Pterodaustro,,"ETE Locality 1585, Loma del Pterodaustro, ",AR,,,,4,small collection,,gp_mid,-27.47,-29.06,291,AR,,Lagarcito,,,group of beds,,,,,,,,"ETE dating method: time_unit, ETE age comment: . radiometric intage_min","ETE rock type adj: mudstone, ETE lithology comments: 0",sandstone,,,,Y,,,,,,alluvial fan,,"ETE sed env 1: fluv_lacustr, ETE sed env 2: alluvial_fan ETE event: ., ETE env comment: 0",macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,,,,200 specimens,,,,"ETE Size: .; ETE reference list: 830, 815, 669, 840, 819, 700, 699, 733, 703, 705, 704, 702, 697, 695, 681, 806, 804, 805, 694, 829, 792, 691, 689, 791, 734, ; ETE museum list: ",,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Pterodaustro,n. gen.,,,guinazui,n. sp.,A. Behrensmeyer,A. Behrensmeyer,M. Carrano
248588,occ,,,24257,,Pterodactyloidea indet.,suborder,38479,,Pterodactyloidea,,suborder,38479,Late Campanian,,83.5,70.6,Rodriguez-de la Rosa and Cevallos-Ferriz,1998,694,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,,,,,,1,elements,-101.116669,26.116667,"IGM 7708, proximal ?left tibia",Ejido El Pelillal,,Ramos Arizpe,MX,Coahuila,Ramos Arizpe,stated in text,minutes,outcrop,"""northern face of Sierra Pinta, approximately 6 km from the nearby Francisco Coss Railroad Station, in the Municipio de Ramos Arizpe, Coahuila""",gp_mid,-67.69,35.08,101,MX,,Cerro del Pueblo,Difunta,,member,,,,,,,,,,not reported,,,,,,,,,,fluvial-deltaic indet.,,"no information on lithology is given at all (!)\r\nsuggested to be a ""tidal riverine system with a coastline closely situated"" or else a ""freshwater lacustrine environment close to a small bay""",macrofossils,,,,,,,,body,,,,,,,,,,,,"all figured material consists of disassociated fragments such as phalanges, scutes, vertebrae, etc.",taxonomic,field collection,,,,,,,,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Pterodactyloidea,,,,indet.,,J. Alroy,J. Alroy,R. Butler
256478,occ,,,24883,,n. gen. Angustinaripterus n. sp. longicephalus,species,136467,,Angustinaripterus longicephalus,,species,136467,Bajocian,Callovian,170.3,163.5,He et al.,1983,6976,Chordata,33815,Reptilia,36322,Pterosauria,38461,Rhamphorhynchidae,38470,Angustinaripterus,136466,,,,1,individuals,104.852501,29.411388,"ZDM T8001, single incomplete skull","Dashanpu Dinosaur Quarry, Xiashaximiao",,,CN,Sichuan,Zigong,estimated from map,seconds,outcrop,"Dashanpu quarry, 10 km NE of Zigong, Sichuan, China",gp_mid,121.85,31.28,611,CN,,Xiashaximiao,,,bed,,,,,,,,"""from approximately the middle of the lower member of the Xiashaximiao Formation"" (= Lower Shaximiao); Lower Shaximiao is suggested to be either Bajocian or Bathonian-Callovian in age ","""micro-grained feldspatholithic sandstone, which is rich in mica fragments, matrix interstitial. Wave-ripple cross bedding, micro-wavy bedding and medium- to large-scale tabular cross bedding are clearly seen.""  ",sandstone,"tabular,wave ripples,wavy/flaser/lenticular bedding,micaceous",,,Y,mudstone,blue,,,,lacustrine indet.,,"""a lake-shore shallow-bank deposit under low energy conditions""","macrofossils,mesofossils",,,,,,,,body,good,parautochthonous,snapshot,concentrate,concentrated,life position,common,,occasional,,,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,,,,,"1972, 1974, 1977–1984",,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Angustinaripterus,n. gen.,,,longicephalus,n. sp.,M. Carrano,M. Carrano,R. Butler
266832,occ,,,25658,,n. gen. Piksi n. sp. barbarulna,species,80899,,Piksi barbarulna,,species,80899,Middle Campanian,,83.5,70.6,Varricchio,2002,7156,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,Piksi,80898,,,,,,-112.966667,48.650002,,Bob's Vacation Site,,MOR TM-088,US,Montana,Glacier,based on political unit,minutes,small collection,"""extent of 25 m2""\r\nno geographic details are given, so coordinate is based on county",gp_mid,-69.17,59.42,101,US,,Two Medicine,Montana,,bed,,,,,,,,"75-76 mya, middle of formation (not ""middle member"")","""silty claystone""",claystone,,,silty,,,,,,,"""floodplain""",,"""only very ephemeral water... small floodplain depression, possibly a vernal pool""","macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,"most elements ""are less than 3 cm"" in ""greatest length""; ""Bones range from well preserved through well abraded and include articulated to isolated elements""; at least one dinosaur skeleton is present",taxonomic,field collection,,,,,,1990 - 1993,,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Piksi,n. gen.,,,barbarulna,n. sp.,J. Alroy,J. Alroy,
283819,occ,34653,,26995,,Eudimorphodon cromptonellus,species,143938,recombined as,Arcticodactylus cromptonellus,,species,143938,Norian,,228,208.5,Jenkins et al.,2001,29536,Chordata,33815,Reptilia,36322,Pterosauria,38461,,,Arcticodactylus,324069,,,,1,individuals,-22.555555,71.371391,MCZ field no. 13/91G,Macknight Bjerg Quarry,,"area V,  Jameson Land",GL,East Greenland,,stated in text,seconds,outcrop,"southern flank of Macknight Bjerg, Jameson Land; updated coordinates (71° 22.277' N, 22° 33.341' W) were provided by Jenkins et al. (2001)",gp_mid,9.48,43.91,102,GL,,Fleming Fjord,Scoresby Land,Ørsted Dal,group of beds,,,,,,,,"from the lower part of the informal ""Carlsberg Fjord beds"" of the Ørsted Dal member; this part of the sequences appears to late Norian according to Clemmensen et al. (1998, PPP, 140:135, fig. 3)","member composed of ""cyclic, bedded claystones or silty claystones and thin sandstones. This unit is also characterized by a well-developed composite cyclicity...The dominant facies in the cycles is red or violet claystone, or silty claystone with horizontal lamination. Commonly violet claystones are overlain by more silty, redbrown claystones. These claystones contain sandstone laminae, thin paleosols, and some infraformational conglomerates with bone fragments...The sandstones...are characterized by small-scale, wave-formed or current-formed cross-lamination and more rarely large-scale, current-formed cross-lamination. Upper bedding planes frequently contain dessication features, wave ripple marks, and dinosaur tracks.""",claystone,"planar lamination,red,blue",,"silty,conglomeratic",Y,sandstone,"desiccation cracks,current ripples,wave ripples,""cross stratification""",,,,lacustrine - small,,"""shallow or ephemeral lake influenced by predominant winds from the NNE.""",macrofossils,many,,"skeletons,skulls",,,,,body,good,,snapshot,,concentrated,,abundant,,occasional,,,,paleoecologic,"selective quarrying,mechanical,field collection",MCZ,"all microfossils,some genera,species names",,,,1991–1992,,,marine,,actively mobile,volant,,piscivore,,,,hydroxyapatite,,,,Eudimorphodon,,,,cromptonellus,,M. Carrano,M. Carrano,M. Carrano
